UID,WR_GROUP,GRP_ACRES,TRGT_ACRES,OVLP_ACRES,OVLP_PCT,Year
373795,1,215,122.871155128,122.660951822,0.998289237977,2006
1371899,4,246,90.7322475234,90.7322475234,1,2006
1228246,4,246,24.266498498,23.6418288081,0.974257938782,2006
350164,6,318,53.9699805395,53.9699805392,0.999999999994,2006
1370463,6,318,62.8868645748,62.8868645749,1,2006
348207,6,318,5.6279686273,5.62796862736,1.00000000001,2006
350962,6,318,2.77735635608,2.77582612739,0.999449034085,2006
348323,7,240,87.6151053923,87.6151053923,1,2006
353373,8,0,161.501533755,161.501533755,0.999999999997,2006
350189,8,0,44.5777982846,44.5777982846,1,2006
353997,8,0,28.3188776991,28.3188776991,1,2006
802107,9,60,47.9187058877,47.3308941575,0.987733146808,2006
1371315,10,238,85.3025926216,85.2469323667,0.999347496329,2006
351967,10,238,11.7375061635,11.5932400781,0.987708966169,2006
349766,10,238,42.7876947632,42.7876947634,1,2006
347971,10,238,11.574506316,10.9288649197,0.944218666554,2006
350086,10,238,102.797305642,102.797305642,0.999999999999,2006
571183,10,238,2.94575587084,2.6488633486,0.899213466676,2006
349798,10,238,6.75214348701,6.75214348702,1,2006
349509,11,206,65.2957696778,65.2957696779,1,2006
349137,11,206,35.8520776558,35.7464937844,0.997055013872,2006
353458,11,206,5.19896236741,5.19886725251,0.999981705021,2006
348578,11,206,7.65208311823,7.65208311817,0.999999999991,2006
348745,12,408,8.09316954102,8.09316954102,1,2006
354210,12,408,124.307141546,124.289677468,0.999859508651,2006
350381,12,408,126.163558611,126.163558611,1,2006
348990,12,408,8.62987970246,8.62927188345,0.999929568079,2006
353753,12,408,7.93191166445,7.93046609679,0.999817752931,2006
347818,12,408,7.34990809798,7.12515382976,0.969420805644,2006
1371633,12,408,126.141778554,125.999382491,0.998871142736,2006
353494,12,408,7.70593509793,7.70593509782,0.999999999985,2006
353942,12,408,7.64182636532,7.64182636547,1.00000000002,2006
350807,13,281.11000061,59.585898773,59.5858987731,1,2006
351448,13,281.11000061,63.2547036358,63.1726472185,0.99870276181,2006
1371402,14,240,66.1898819866,66.1898819865,0.999999999999,2006
350136,15,1408,17.4495387886,17.4495387887,1,2006
353205,15,1408,59.4128792409,59.4128792406,0.999999999995,2006
354769,15,1408,35.1557108703,35.1372791384,0.999475711585,2006
1370587,15,1408,59.8963884457,59.8963884459,1,2006
349104,15,1408,8.18582999831,8.18582999834,1,2006
351048,15,1408,62.5421128288,62.5421128288,1,2006
348694,15,1408,7.18743875279,7.18743875279,1,2006
354825,15,1408,60.2467166631,60.2467166633,1,2006
351632,15,1408,13.1528296951,13.0527199214,0.99238872729,2006
348970,15,1408,7.78484866461,7.2899194939,0.936424047271,2006
349736,15,1408,62.42270749,62.2350186584,0.996993260318,2006
353902,15,1408,63.3875819132,63.3875819134,1,2006
347934,15,1408,254.873716223,254.694159159,0.999295505767,2006
352871,15,1408,7.77228229634,7.77228229611,0.999999999971,2006
1370624,15,1408,14.0646275713,13.7312665129,0.976297910718,2006
349918,15,1408,8.38919479199,8.38919479197,0.999999999997,2006
350439,15,1408,7.23724165181,7.23724165194,1.00000000002,2006
350870,15,1408,8.01433445263,8.01433445264,1,2006
348459,15,1408,8.37839700295,8.12777579902,0.970087213122,2006
351251,15,1408,60.0743293596,60.0669194726,0.999876654685,2006
351975,15,1408,62.1224072137,62.1224072136,0.999999999998,2006
349633,15,1408,8.50494979292,8.33126910322,0.979578869491,2006
349773,15,1408,68.7733625129,68.7733625126,0.999999999995,2006
1371122,15,1408,19.9276781517,19.9276781516,0.999999999993,2006
347687,15,1408,70.3444328145,70.3444328147,1,2006
1370408,15,1408,24.8255018722,24.8255018721,0.999999999995,2006
1370418,15,1408,75.0343623844,75.0343623843,0.999999999999,2006
348363,15,1408,29.3848162873,29.3848162871,0.999999999993,2006
349879,15,1408,62.2652223803,62.2652223803,1,2006
350373,16,129,39.4864886119,39.4864886119,0.999999999999,2006
352004,16,129,27.2696414009,27.2696414012,1.00000000001,2006
1370636,17,640,62.1923629062,62.1886625405,0.999940501284,2006
352203,17,640,7.60300981563,7.58570733478,0.997724259041,2006
354645,17,640,61.3748586395,61.3748586394,0.999999999999,2006
568896,17,640,158.964777466,158.964777466,0.999999999999,2006
352109,17,640,8.56067249061,8.56067249054,0.999999999991,2006
354646,17,640,8.18027085514,8.18027085537,1.00000000003,2006
568898,17,640,155.572533878,155.534165641,0.99975337396,2006
350180,17,640,124.887912853,124.569375241,0.997449411997,2006
1371574,17,640,8.51228491071,8.4942566121,0.997882084682,2006
568897,17,640,1.56406980054,1.5545708664,0.993926783745,2006
349268,17,640,9.00471316502,9.00471316532,1.00000000003,2006
353300,17,640,8.97047372297,8.24540259075,0.919171366573,2006
352411,17,640,8.66359295198,7.93837131222,0.916290891807,2006
352220,18,294.5,59.8643061885,59.8643061882,0.999999999994,2006
1371228,18,294.5,61.1921000904,61.1921000908,1.00000000001,2006
347705,19,290,18.513224615,18.5132246151,1.00000000001,2006
354372,19,290,60.3961074453,59.8903699001,0.991626322182,2006
374201,21,160,9.86342117349,9.86342117341,0.999999999992,2006
375556,21,160,123.949512452,123.596085997,0.997148625701,2006
374151,21,160,8.44928633036,7.94959077757,0.940859436732,2006
377999,21,160,9.41562859966,9.41562859938,0.999999999971,2006
375611,21,160,9.06354403136,7.99718328064,0.882346160946,2006
374508,22,285,61.2563686062,61.243020387,0.999782092548,2006
378419,22,285,52.9228389752,52.9228389751,0.999999999999,2006
378781,22,285,119.386507769,119.386507769,1,2006
