crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
2_Cheyenne,20110101,0.00,0.78,1.23,254.64544384985797,270.42449276544767
2_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
2_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
2_Sherman,20110101,0.00,0.70,1.09,253.76008641474263,269.75182423069515
2_Gove,20110101,0.00,1.12,1.81,255.23159643754522,273.3393142325526
2_Thomas,20110101,0.00,0.93,1.49,254.7684727058134,271.5584394491536
2_Sheridan,20110101,0.00,1.13,1.82,255.73010250414455,272.92937787203005
2_Graham,20110101,0.00,1.24,2.00,256.35860333090534,273.44701639874654
2_Wallace,20110101,0.00,0.75,1.17,253.89765907970562,270.2843907055945
2_Logan,20110101,0.00,0.97,1.55,254.49454062927214,272.17677436666537
4_Cheyenne,20110101,0.00,0.78,1.23,254.64544384985797,270.42449276544767
4_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
4_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
4_Sherman,20110101,0.00,0.70,1.09,253.76008641474263,269.75182423069515
4_Gove,20110101,0.00,1.12,1.81,255.23159643754522,273.3393142325526
4_Thomas,20110101,0.00,0.93,1.49,254.7684727058134,271.5584394491536
4_Sheridan,20110101,0.00,1.13,1.82,255.73010250414455,272.92937787203005
4_Graham,20110101,0.00,1.24,2.00,256.35860333090534,273.44701639874654
4_Wallace,20110101,0.00,0.75,1.17,253.89765907970562,270.2843907055945
4_Logan,20110101,0.00,0.97,1.55,254.49454062927214,272.17677436666537
6_Cheyenne,20110101,0.00,0.78,1.23,254.64544384985797,270.42449276544767
6_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
6_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
6_Sherman,20110101,0.00,0.70,1.09,253.76008641474263,269.75182423069515
6_Gove,20110101,0.00,1.12,1.81,255.23159643754522,273.3393142325526
6_Thomas,20110101,0.00,0.93,1.49,254.7684727058134,271.5584394491536
6_Sheridan,20110101,0.00,1.13,1.82,255.73010250414455,272.92937787203005
6_Graham,20110101,0.00,1.24,2.00,256.35860333090534,273.44701639874654
6_Wallace,20110101,0.00,0.75,1.17,253.89765907970562,270.2843907055945
6_Logan,20110101,0.00,0.97,1.55,254.49454062927214,272.17677436666537
8_Cheyenne,20110101,0.00,0.78,1.23,254.64544384985797,270.42449276544767
8_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
8_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
8_Sherman,20110101,0.00,0.70,1.09,253.76008641474263,269.75182423069515
8_Gove,20110101,0.00,1.12,1.81,255.23159643754522,273.3393142325526
8_Thomas,20110101,0.00,0.93,1.49,254.7684727058134,271.5584394491536
8_Sheridan,20110101,0.00,1.13,1.82,255.73010250414455,272.92937787203005
8_Graham,20110101,0.00,1.24,2.00,256.35860333090534,273.44701639874654
8_Wallace,20110101,0.00,0.75,1.17,253.89765907970562,270.2843907055945
8_Logan,20110101,0.00,0.97,1.55,254.49454062927214,272.17677436666537
1_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
1_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
1_Gove,20110101,0.00,1.12,1.81,255.23159643754522,273.3393142325526
1_Thomas,20110101,0.00,0.93,1.49,254.7684727058134,271.5584394491536
1_Sheridan,20110101,0.00,1.13,1.82,255.73010250414455,272.92937787203005
1_Graham,20110101,0.00,1.24,2.00,256.35860333090534,273.44701639874654
1_Logan,20110101,0.00,0.97,1.55,254.49454062927214,272.17677436666537
3_Rawlins,20110101,0.00,1.03,1.67,255.50054815028088,272.0009331027822
3_Decatur,20110101,0.00,1.18,1.92,256.0216609084591,272.92588176718203
