crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
2_Cheyenne,20170101,0.00,1.40,2.25,263.96053878324403,280.0592758295389
2_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
2_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
2_Sherman,20170101,0.00,1.45,2.34,263.96433388985554,280.51156935266766
2_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
2_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
2_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
2_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
2_Wallace,20170101,0.00,1.55,2.48,263.6865701488734,281.3073214691968
2_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
4_Cheyenne,20170101,0.00,1.40,2.25,263.96053878324403,280.0592758295389
4_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
4_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
4_Sherman,20170101,0.00,1.45,2.34,263.96433388985554,280.51156935266766
4_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
4_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
4_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
4_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
4_Wallace,20170101,0.00,1.55,2.48,263.6865701488734,281.3073214691968
4_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
6_Cheyenne,20170101,0.00,1.40,2.25,263.96053878324403,280.0592758295389
6_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
6_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
6_Sherman,20170101,0.00,1.45,2.34,263.96433388985554,280.51156935266766
6_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
6_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
6_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
6_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
6_Wallace,20170101,0.00,1.55,2.48,263.6865701488734,281.3073214691968
8_Cheyenne,20170101,0.00,1.40,2.25,263.96053878324403,280.0592758295389
8_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
8_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
8_Sherman,20170101,0.00,1.45,2.34,263.96433388985554,280.51156935266766
8_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
8_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
8_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
8_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
8_Wallace,20170101,0.00,1.55,2.48,263.6865701488734,281.3073214691968
8_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
1_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
1_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
1_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
1_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
1_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
1_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
1_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
3_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
3_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
3_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
3_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
3_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
3_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
3_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
5_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
5_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
5_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
5_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
5_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
5_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
5_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
7_Rawlins,20170101,0.00,1.56,2.52,265.4691027838378,280.3694430364561
7_Decatur,20170101,0.01,1.54,2.49,267.57547942976714,279.7953368752268
7_Gove,20170101,0.10,1.64,2.65,267.50027167046824,282.0742601172387
7_Thomas,20170101,0.00,1.62,2.61,265.71061516256157,280.7720165693363
7_Sheridan,20170101,0.01,1.66,2.67,267.50762969437653,281.13449078996507
7_Graham,20170101,0.00,1.72,2.77,269.4584501650996,281.4453877419214
7_Logan,20170101,0.00,1.59,2.56,265.28098857329474,281.50654710531893
2_Cheyenne,20170102,0.00,0.20,0.20,259.05224763689506,271.66122965981833
2_Rawlins,20170102,0.00,0.22,0.24,260.24095613621574,273.55321457693196
2_Decatur,20170102,0.00,0.28,0.35,260.79496371625737,275.1429092896467
2_Sherman,20170102,0.00,0.24,0.27,259.2917729247315,273.14406486631873
2_Gove,20170102,0.00,0.26,0.26,261.1962947100998,275.5020008779468
