crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
1_Rawlins,20130101,0.27,0.47,0.66,260.2022729320839,273.04601971294346
1_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
1_Gove,20130101,0.00,0.43,0.59,260.51349559329105,271.4245436800257
1_Thomas,20130101,0.67,0.46,0.65,259.96780835623014,272.4204124041704
1_Sheridan,20130101,0.00,0.44,0.62,260.04751854211963,271.9275706069839
1_Graham,20130101,0.43,0.45,0.64,259.9703103913837,271.8862318570663
1_Logan,20130101,0.31,0.46,0.64,260.37502648272005,272.21320100254405
2_Cheyenne,20130101,0.46,0.49,0.69,260.08404912224046,273.6089444874717
2_Rawlins,20130101,0.27,0.47,0.66,260.2022729320839,273.04601971294346
2_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
2_Sherman,20130101,0.43,0.53,0.75,260.50439231196793,273.7770584431657
2_Gove,20130101,0.00,0.43,0.59,260.51349559329105,271.4245436800257
2_Thomas,20130101,0.67,0.46,0.65,259.96780835623014,272.4204124041704
2_Sheridan,20130101,0.00,0.44,0.62,260.04751854211963,271.9275706069839
2_Graham,20130101,0.43,0.45,0.64,259.9703103913837,271.8862318570663
2_Wallace,20130101,0.27,0.59,0.86,260.6481666615978,273.9265012872018
2_Logan,20130101,0.31,0.46,0.64,260.37502648272005,272.21320100254405
3_Rawlins,20130101,0.27,0.47,0.66,260.2022729320839,273.04601971294346
3_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
3_Gove,20130101,0.00,0.43,0.59,260.51349559329105,271.4245436800257
3_Thomas,20130101,0.67,0.46,0.65,259.96780835623014,272.4204124041704
3_Sheridan,20130101,0.00,0.44,0.62,260.04751854211963,271.9275706069839
3_Graham,20130101,0.43,0.45,0.64,259.9703103913837,271.8862318570663
3_Logan,20130101,0.31,0.46,0.64,260.37502648272005,272.21320100254405
4_Cheyenne,20130101,0.46,0.49,0.69,260.08404912224046,273.6089444874717
4_Rawlins,20130101,0.27,0.47,0.66,260.2022729320839,273.04601971294346
4_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
4_Sherman,20130101,0.43,0.53,0.75,260.50439231196793,273.7770584431657
4_Gove,20130101,0.00,0.43,0.59,260.51349559329105,271.4245436800257
4_Thomas,20130101,0.67,0.46,0.65,259.96780835623014,272.4204124041704
4_Sheridan,20130101,0.00,0.44,0.62,260.04751854211963,271.9275706069839
4_Graham,20130101,0.43,0.45,0.64,259.9703103913837,271.8862318570663
4_Wallace,20130101,0.27,0.59,0.86,260.6481666615978,273.9265012872018
4_Logan,20130101,0.31,0.46,0.64,260.37502648272005,272.21320100254405
5_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
5_Gove,20130101,0.00,0.43,0.59,260.51349559329105,271.4245436800257
5_Thomas,20130101,0.67,0.46,0.65,259.96780835623014,272.4204124041704
5_Sheridan,20130101,0.00,0.44,0.62,260.04751854211963,271.9275706069839
5_Graham,20130101,0.43,0.45,0.64,259.9703103913837,271.8862318570663
5_Logan,20130101,0.31,0.46,0.64,260.37502648272005,272.21320100254405
6_Cheyenne,20130101,0.46,0.49,0.69,260.08404912224046,273.6089444874717
6_Rawlins,20130101,0.27,0.47,0.66,260.2022729320839,273.04601971294346
6_Decatur,20130101,0.00,0.47,0.68,260.02447268149956,272.7594311669166
6_Sherman,20130101,0.43,0.53,0.75,260.50439231196793,273.7770584431657
