crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
2_Cheyenne,20090101,0.00,1.87,3.08,267.08414772610564,283.7698991066264
2_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
2_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
2_Sherman,20090101,0.00,2.02,3.33,267.2308182978016,284.4660555629233
2_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
2_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
2_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
2_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
2_Wallace,20090101,0.00,2.16,3.54,266.5706726266434,285.83594570870895
2_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
4_Cheyenne,20090101,0.00,1.87,3.08,267.08414772610564,283.7698991066264
4_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
4_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
4_Sherman,20090101,0.00,2.02,3.33,267.2308182978016,284.4660555629233
4_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
4_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
4_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
4_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
4_Wallace,20090101,0.00,2.16,3.54,266.5706726266434,285.83594570870895
4_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
6_Cheyenne,20090101,0.00,1.87,3.08,267.08414772610564,283.7698991066264
6_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
6_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
6_Sherman,20090101,0.00,2.02,3.33,267.2308182978016,284.4660555629233
6_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
6_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
6_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
6_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
6_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
8_Cheyenne,20090101,0.00,1.87,3.08,267.08414772610564,283.7698991066264
8_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
8_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
8_Sherman,20090101,0.00,2.02,3.33,267.2308182978016,284.4660555629233
8_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
8_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
8_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
8_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
8_Wallace,20090101,0.00,2.16,3.54,266.5706726266434,285.83594570870895
8_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
1_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
1_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
1_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
1_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
1_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
1_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
1_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
3_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
3_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
3_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
3_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
3_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
3_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
3_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
5_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
5_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
5_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
5_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
5_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
5_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
5_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
7_Rawlins,20090101,0.00,1.83,2.99,265.7259378672369,283.41928433764593
7_Decatur,20090101,0.00,1.75,2.86,264.99703254771646,282.8602489093594
7_Gove,20090101,0.00,1.74,2.84,264.448813323036,284.6393905359649
7_Thomas,20090101,0.00,1.95,3.20,265.8959443963971,284.10547096261286
7_Sheridan,20090101,0.00,1.78,2.91,265.4587671506072,283.43461824032056
7_Graham,20090101,0.00,1.56,2.53,264.2236279736975,282.22291999837205
7_Logan,20090101,0.00,1.91,3.12,264.8632200037451,285.32395555134775
2_Cheyenne,20090102,0.00,2.48,4.12,268.873606656413,289.1622904983255
2_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
2_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
2_Sherman,20090102,0.00,2.69,4.47,269.3641225419812,289.5210633030206
2_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
2_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
2_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
2_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
2_Wallace,20090102,0.00,2.71,4.48,268.8592034224029,289.650494208757
2_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
4_Cheyenne,20090102,0.00,2.48,4.12,268.873606656413,289.1622904983255
4_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
4_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
4_Sherman,20090102,0.00,2.69,4.47,269.3641225419812,289.5210633030206
4_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
4_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
4_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
4_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
4_Wallace,20090102,0.00,2.71,4.48,268.8592034224029,289.650494208757
4_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
6_Cheyenne,20090102,0.00,2.48,4.12,268.873606656413,289.1622904983255
6_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
6_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
6_Sherman,20090102,0.00,2.69,4.47,269.3641225419812,289.5210633030206
6_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
6_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
6_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
6_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
6_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
8_Cheyenne,20090102,0.00,2.48,4.12,268.873606656413,289.1622904983255
8_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
8_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
8_Sherman,20090102,0.00,2.69,4.47,269.3641225419812,289.5210633030206
8_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
8_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
8_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
8_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
8_Wallace,20090102,0.00,2.71,4.48,268.8592034224029,289.650494208757
8_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
1_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
1_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
1_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
1_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
1_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
1_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
1_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
3_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
3_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
3_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
3_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
3_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
3_Graham,20090102,0.00,1.61,2.60,266.7389683910631,283.9294066489417
3_Logan,20090102,0.00,2.27,3.74,267.19454970394435,288.58930974569023
5_Rawlins,20090102,0.00,2.39,3.96,267.69253007217634,289.2866491056131
5_Decatur,20090102,0.00,1.98,3.26,267.08899957518156,287.25545061440306
5_Gove,20090102,0.00,1.90,3.09,266.8499844785407,287.0079064253791
5_Thomas,20090102,0.00,2.54,4.19,268.1468424625034,288.97088701793643
5_Sheridan,20090102,0.00,2.11,3.47,267.85128612217187,287.3395760106608
