crop_mn_codeyear,date_ymd,pr,eto,etr,tmmn,tmmx
2_Cheyenne,20060101,2.43,1.35,2.10,272.5955173051701,284.03792247165615
2_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
2_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
2_Sherman,20060101,1.59,1.43,2.24,272.18345489507396,283.91636723574237
2_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
2_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
2_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
2_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
2_Wallace,20060101,1.80,1.80,2.86,270.9493566334469,285.3937214666328
2_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
4_Cheyenne,20060101,2.43,1.35,2.10,272.5955173051701,284.03792247165615
4_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
4_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
4_Sherman,20060101,1.59,1.43,2.24,272.18345489507396,283.91636723574237
4_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
4_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
4_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
4_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
4_Wallace,20060101,1.80,1.80,2.86,270.9493566334469,285.3937214666328
4_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
6_Cheyenne,20060101,2.43,1.35,2.10,272.5955173051701,284.03792247165615
6_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
6_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
6_Sherman,20060101,1.59,1.43,2.24,272.18345489507396,283.91636723574237
6_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
6_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
6_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
6_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
6_Wallace,20060101,1.80,1.80,2.86,270.9493566334469,285.3937214666328
6_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
8_Cheyenne,20060101,2.43,1.35,2.10,272.5955173051701,284.03792247165615
8_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
8_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
8_Sherman,20060101,1.59,1.43,2.24,272.18345489507396,283.91636723574237
8_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
8_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
8_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
8_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
8_Wallace,20060101,1.80,1.80,2.86,270.9493566334469,285.3937214666328
8_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
1_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
1_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
1_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
1_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
1_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
1_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
1_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
3_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
3_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
3_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
3_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
3_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
3_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
3_Logan,20060101,1.12,1.38,2.15,269.82422587830223,284.41912547858334
5_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
5_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
5_Graham,20060101,0.44,0.92,1.38,267.9758806628382,281.72444059875755
7_Rawlins,20060101,1.35,1.38,2.16,271.2587086818277,284.68893997011253
7_Decatur,20060101,0.74,1.26,1.97,269.76365368235145,283.9538924188307
7_Gove,20060101,0.51,0.92,1.37,268.47657574637367,281.8579349171165
7_Thomas,20060101,1.05,1.32,2.05,270.01452900135223,283.90429957657017
7_Sheridan,20060101,0.68,1.08,1.65,269.16602962610494,282.87366377190125
