crop_mn_codeyear,date_ymd,Lai,LaiStdDev
1_Rawlins,20130101,0.09790415104566601,0.0
1_Thomas,20130101,0.05032430716197214,0.0
1_Sheridan,20130101,0.0,0.0
1_Logan,20130101,0.535036726600874,0.0
2_Cheyenne,20130101,0.1800023665838362,0.0
2_Rawlins,20130101,0.09790415104566601,0.0
2_Sherman,20130101,0.8773430096840549,0.048665620094191536
2_Thomas,20130101,0.05032430716197214,0.0
2_Sheridan,20130101,0.0,0.0
2_Wallace,20130101,1.4912211011360925,0.032991924364782384
2_Logan,20130101,0.535036726600874,0.0
3_Rawlins,20130101,0.09790415104566601,0.0
3_Thomas,20130101,0.05032430716197214,0.0
3_Sheridan,20130101,0.0,0.0
3_Logan,20130101,0.535036726600874,0.0
4_Cheyenne,20130101,0.1800023665838362,0.0
4_Rawlins,20130101,0.09790415104566601,0.0
4_Sherman,20130101,0.8773430096840549,0.048665620094191536
4_Thomas,20130101,0.05032430716197214,0.0
4_Sheridan,20130101,0.0,0.0
4_Wallace,20130101,1.4912211011360925,0.032991924364782384
4_Logan,20130101,0.535036726600874,0.0
5_Thomas,20130101,0.05032430716197214,0.0
5_Sheridan,20130101,0.0,0.0
5_Logan,20130101,0.535036726600874,0.0
6_Cheyenne,20130101,0.1800023665838362,0.0
6_Rawlins,20130101,0.09790415104566601,0.0
6_Sherman,20130101,0.8773430096840549,0.048665620094191536
6_Thomas,20130101,0.05032430716197214,0.0
6_Sheridan,20130101,0.0,0.0
6_Wallace,20130101,1.4912211011360925,0.032991924364782384
6_Logan,20130101,0.535036726600874,0.0
7_Rawlins,20130101,0.09790415104566601,0.0
7_Thomas,20130101,0.05032430716197214,0.0
7_Sheridan,20130101,0.0,0.0
7_Logan,20130101,0.535036726600874,0.0
8_Cheyenne,20130101,0.1800023665838362,0.0
8_Rawlins,20130101,0.09790415104566601,0.0
8_Sherman,20130101,0.8773430096840549,0.048665620094191536
8_Thomas,20130101,0.05032430716197214,0.0
8_Sheridan,20130101,0.0,0.0
8_Wallace,20130101,1.4912211011360925,0.032991924364782384
8_Logan,20130101,0.535036726600874,0.0
1_Rawlins,20130105,0.43299155336736067,0.0
1_Decatur,20130105,0.0,0.0
1_Gove,20130105,0.39001380059274665,0.00673194614443085
1_Thomas,20130105,0.7394430081190184,0.07745680165454669
1_Sheridan,20130105,0.15963422245136077,0.0
1_Graham,20130105,0.37032348425674033,0.0
1_Logan,20130105,1.2163940336172316,0.17159794218264432
2_Cheyenne,20130105,0.8630457933972309,0.05003479471120392
2_Rawlins,20130105,0.43299155336736067,0.0
2_Decatur,20130105,0.0,0.0
2_Sherman,20130105,1.4825386553262299,0.5486928525434641
2_Gove,20130105,0.39001380059274665,0.00673194614443085
2_Thomas,20130105,0.7394430081190184,0.07745680165454669
2_Sheridan,20130105,0.15963422245136077,0.0
2_Graham,20130105,0.37032348425674033,0.0
2_Wallace,20130105,1.619766425677286,0.6191838139879771
2_Logan,20130105,1.2163940336172316,0.17159794218264432
3_Rawlins,20130105,0.43299155336736067,0.0
3_Decatur,20130105,0.0,0.0
3_Gove,20130105,0.39001380059274665,0.00673194614443085
3_Thomas,20130105,0.7394430081190184,0.07745680165454669
3_Sheridan,20130105,0.15963422245136077,0.0
3_Graham,20130105,0.37032348425674033,0.0
3_Logan,20130105,1.2163940336172316,0.17159794218264432
4_Cheyenne,20130105,0.8630457933972309,0.05003479471120392
4_Rawlins,20130105,0.43299155336736067,0.0
4_Decatur,20130105,0.0,0.0
4_Sherman,20130105,1.4825386553262299,0.5486928525434641
4_Gove,20130105,0.39001380059274665,0.00673194614443085
4_Thomas,20130105,0.7394430081190184,0.07745680165454669
4_Sheridan,20130105,0.15963422245136077,0.0
4_Graham,20130105,0.37032348425674033,0.0
4_Wallace,20130105,1.619766425677286,0.6191838139879771
4_Logan,20130105,1.2163940336172316,0.17159794218264432
5_Decatur,20130105,0.0,0.0
5_Gove,20130105,0.39001380059274665,0.00673194614443085
5_Thomas,20130105,0.7394430081190184,0.07745680165454669
5_Sheridan,20130105,0.15963422245136077,0.0
5_Graham,20130105,0.37032348425674033,0.0
5_Logan,20130105,1.2163940336172316,0.17159794218264432
6_Cheyenne,20130105,0.8630457933972309,0.05003479471120392
6_Rawlins,20130105,0.43299155336736067,0.0
6_Decatur,20130105,0.0,0.0
6_Sherman,20130105,1.4825386553262299,0.5486928525434641
6_Gove,20130105,0.39001380059274665,0.00673194614443085
6_Thomas,20130105,0.7394430081190184,0.07745680165454669
6_Sheridan,20130105,0.15963422245136077,0.0
6_Graham,20130105,0.37032348425674033,0.0
6_Wallace,20130105,1.619766425677286,0.6191838139879771
6_Logan,20130105,1.2163940336172316,0.17159794218264432
7_Rawlins,20130105,0.43299155336736067,0.0
7_Decatur,20130105,0.0,0.0
7_Gove,20130105,0.39001380059274665,0.00673194614443085
7_Thomas,20130105,0.7394430081190184,0.07745680165454669
7_Sheridan,20130105,0.15963422245136077,0.0
7_Graham,20130105,0.37032348425674033,0.0
7_Logan,20130105,1.2163940336172316,0.17159794218264432
8_Cheyenne,20130105,0.8630457933972309,0.05003479471120392
8_Rawlins,20130105,0.43299155336736067,0.0
8_Decatur,20130105,0.0,0.0
8_Sherman,20130105,1.4825386553262299,0.5486928525434641
8_Gove,20130105,0.39001380059274665,0.00673194614443085
8_Thomas,20130105,0.7394430081190184,0.07745680165454669
8_Sheridan,20130105,0.15963422245136077,0.0
8_Graham,20130105,0.37032348425674033,0.0
8_Wallace,20130105,1.619766425677286,0.6191838139879771
